facility_code,facility_name,owner,district,county,drug_name,stocking level(units)
11641,Moi District Hospital Voi,Ministry of Health,Voi,Taita Taveta,Artesunate inj 60mg ,3800
11764,Sagala Health Centre,Ministry of Health,Voi,Taita Taveta,Artesunate inj 60mg ,7400
11589,Mbale Health Centre,Ministry of Health,Wundanyi,Taita Taveta,Artesunate inj 60mg ,1500
11602,Mgange Dawida Dispensary,Ministry of Health,Wundanyi,Taita Taveta,Artesunate inj 60mg ,3210
11603,Mgange Nyika Health Centre,Ministry of Health,Wundanyi,Taita Taveta,Artesunate inj 60mg ,0
11688,Mwanda Health Centre (Taita Taveta),Ministry of Health,Wundanyi,Taita Taveta,Artesunate inj 60mg ,100
11705,Ndovu Health Centre,Ministry of Health,Voi,Taita Taveta,Artesunate inj 60mg ,0
11720,Nyache Health Centre,Ministry of Health,Wundanyi,Taita Taveta,Artesunate inj 60mg ,0
11904,Werugha Health Centre,Ministry of Health,Wundanyi,Taita Taveta,Artesunate inj 60mg ,0
18895,Korogocho Health Centre,Ministry of Health,Kasarani,Nairobi,Artesunate inj 60mg ,0
19735,Wundanyi GK Prisons,Other Public Institution,Wundanyi,Taita Taveta,Artesunate inj 60mg ,0
18858,Maungu Model Health Centre,Ministry of Health,Voi,Taita Taveta,Artesunate inj 60mg ,100
